source_id,l,b,parallax,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,ra_error,dec_error,parallax_error,pmra_error,pmdec_error,ruwe,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_n_bad_obs_al,astrometric_n_good_obs_al,astrometric_n_obs_ac,astrometric_n_obs_al,astrometric_sigma5d_max,bp_g,bp_rp,dec_parallax_corr,dec_pmdec_corr,dec_pmra_corr,dec_pseudocolour_corr,g_rp,ipd_frac_multi_peak,ipd_frac_odd_win,ipd_gof_harmonic_amplitude,ipd_gof_harmonic_phase,matched_transits,nu_eff_used_in_astrometry,parallax_over_error,parallax_pmdec_corr,parallax_pmra_corr,parallax_pseudocolour_corr,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_n_blended_transits,phot_bp_n_contaminated_transits,phot_bp_n_obs,phot_bp_rp_excess_factor,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_n_obs,phot_proc_mode,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_obs,pm,pmdec_pseudocolour_corr,pmra_pmdec_corr,pmra_pseudocolour_corr,pseudocolour,pseudocolour_error,ra_dec_corr,ra_parallax_corr,ra_pmdec_corr,ra_pmra_corr,ra_pseudocolour_corr
4070421084305148928,6.454530297340944,2.01480920979744,,,,17.557755,14.78595,13.439242,1.9708322,1.8456026,,,,,991.2372,3.3725088,57.390347,3,128,0,131,4.769236,-2.7718048,1.3467073,,,,,4.118512,0,11,0.32513216,11.948409,17,,,,,,16635.54170416126,587.2101,28.329796,9,0,9,28.005512,1785.848587926964,25.736279,69.39032,122,0,33378.063360823,472.7502,70.60402,9,0,9,,,,,,,0.90786815,,,,
4056131006637615488,359.1756591058298,-2.3008273871501084,0.014980564524014153,-1.0711801377519472,-8.677686046872404,17.072157,16.473923,15.361079,0.10386996,0.08665488,0.11291891,0.12437665,0.08544697,1.1283708,442.03598,0.30104604,2.4755003,1,340,0,341,0.20087618,-0.5982342,1.1128435,-0.34811014,-0.81688476,-0.41270676,-0.06472715,1.7110777,1,0,0.105253585,9.946765,40,,0.13266656,0.3889056,-0.14283481,-0.08462964,3514.372777025548,44.378685,79.19056,38,0,38,3.2936041,2793.0862198367927,9.553023,292.3772,332,0,5684.947822550715,55.17217,103.04014,39,0,39,8.743549,-0.086388335,0.46908265,0.07909904,1.4772588,0.018518765,0.5125767,-0.10407212,-0.4538646,-0.39921477,0.012433392
4040819138994544384,355.9038545548924,-4.269188689120149,0.19706754406254898,-0.9572624940509799,-6.95990273732424,16.315231,14.292345,13.212429,0.07309893,0.06240284,0.08027404,0.088731766,0.059816554,1.081359,444.6781,0.23922352,2.191585,0,343,0,343,0.12984733,-2.0228863,1.079916,-0.30132595,-0.75041634,-0.118459955,-0.14182,3.1028023,0,0,0.025844302,137.62224,40,,2.454935,0.3202423,-0.11939324,0.1950979,26210.705259910897,315.10358,83.18124,36,0,36,12.007165,5608.598107491231,16.81262,333.59454,346,0,41132.65591610449,159.00098,258.69437,37,0,37,7.025425,0.028790573,0.18960232,-0.060364306,1.5678563,0.015757617,0.24204941,0.008378619,-0.17700712,-0.36441183,0.0046376213
4036448129216710272,351.77029927414696,-6.668421896809187,0.10629894125079288,-5.593255962792808,-3.854612831239648,15.621905,15.583263,15.228846,0.031255398,0.025986152,0.037134297,0.036470518,0.025709754,0.9490343,359.8559,0.0,0.0,1,376,0,377,0.0525525,-0.03864193,0.3544178,-0.36452135,-0.64477843,-0.17571515,,0.39305973,0,0,0.09030156,0.5268614,43,1.6988236,2.8625543,0.38253227,-0.14379264,,7981.997678941151,32.689213,244.17834,38,0,38,1.3560504,10621.47395756631,7.721997,1375.4828,371,0,6421.255732736127,19.151554,335.2864,37,0,37,6.792831,,0.15684155,,,,0.2403549,-0.16587612,-0.25972036,-0.196922,
4581048921494269056,49.75120841726692,23.180447579476034,0.6040428653676964,-2.2812538029087515,-10.06236208363172,14.598722,14.459434,14.863961,0.018061033,0.025063189,0.03095693,0.023202667,0.031184597,1.0898346,1888.7289,0.27835262,34.148674,1,556,0,557,0.043676823,-0.1392889,-0.40452766,-0.034121975,-0.21682647,-0.040186703,,-0.26523876,0,0,0.018169852,171.98679,68,1.8673582,19.512363,0.07804153,-0.16257145,,22472.08821462495,19.817175,1133.9703,0,0,63,1.1541877,27255.735401178397,14.051401,1939.7166,549,0,8986.147158741287,9.613667,934.7263,1,0,60,10.317716,,0.03824688,,,,-0.034186207,-0.042410806,-0.031324998,-0.008077732,
4041594668305141888,356.0545987366676,-4.205149643748754,0.31210588092528846,-4.400765925382946,-4.591915093322984,18.592772,,,0.18111867,0.1431962,0.19560522,0.21659105,0.13929982,1.0661182,379.41583,0.21272531,0.26766154,2,328,0,330,0.32220802,,,-0.3078835,-0.6913624,-0.2702024,-0.07731634,,0,0,0.032465216,6.97477,39,,1.5955907,0.3628728,-0.026708549,0.20985857,,,,,,0,,688.3952798681598,1.6950165,406.12897,330,1,,,,,,0,6.360222,-0.045727,0.33179942,-0.0059589073,1.586019,0.03986103,0.39812037,-0.019570652,-0.2892106,-0.22405559,-0.03891223
4043451880845295744,357.6329242457905,-3.3321860353397286,0.9531407041856365,-4.758031281573511,-6.1326706239238025,19.09049,,,0.39143914,0.29183406,0.44651386,0.46004748,0.2885191,1.1756473,293.4265,1.1608369,2.9861803,0,205,0,205,0.674262,,,-0.15680623,-0.6629106,-0.22572921,0.11998764,,2,39,0.048543993,9.386306,28,,2.1346273,0.27753174,-0.44129625,-0.2970352,,,,,,0,,435.2616030625165,3.0004253,145.06664,223,0,,,,,,0,7.7619915,-0.43579254,0.10779964,0.22185756,1.3444291,0.09542682,0.18300818,0.30076662,-0.07482441,-0.27251145,-0.27891612
1633291851249300608,96.10206926681903,30.48361337808353,1.2990257285962339,-1.0070729423788067,-4.15911349069629,13.035609,13.3709,12.539624,0.010509848,0.010185267,0.010737594,0.01294652,0.013669487,0.9628524,316.9517,0.030598711,0.8983149,1,254,26,255,0.019414017,0.3352909,0.83127594,0.12715511,0.08887928,-8.7647606E-4,,0.49598503,0,0,0.03279797,115.06898,199,1.5506464,120.97922,-0.17012762,-0.23487274,,61243.026900465535,16.829489,3639.0308,23,0,183,1.1972102,115001.42791421608,8.973342,12815.897,1652,0,76437.85249048841,13.468714,5675.2153,14,0,179,4.2793016,,0.07992415,,,,-0.017662808,-0.08929491,0.044659853,0.07285049,
1638168150956008320,100.87056587529582,30.291584352418763,0.44615956886795893,-2.385675919835427,-4.643768889706216,15.368274,15.443943,15.198299,0.033148814,0.029926859,0.034414105,0.041324392,0.037837163,1.1588176,330.29184,0.16158931,3.517142,0,227,9,227,0.0606232,0.07566929,0.24564362,0.13837025,-0.25787348,-0.12488766,,0.16997433,0,0,0.033532903,179.31242,33,1.7070738,12.964438,-0.37272057,-0.22014879,,9074.850829698018,17.510355,518.2562,2,0,32,1.1686658,13416.437089384917,8.517154,1575.2255,256,0,6604.479618017623,14.180574,465.74133,2,0,30,5.2207317,,0.14135937,,,,3.352039E-4,-0.32417113,0.0451295,0.1373237,
1637779336156895360,99.43229768867829,30.361039844250747,0.509487366486621,-5.676555094126097,13.73329721956945,15.102945,14.944908,15.402306,0.02910848,0.030990632,0.03048446,0.035429884,0.039785586,1.0460242,897.1718,0.288198,16.913559,1,335,0,336,0.056225136,-0.15803719,-0.45739746,0.14415847,-0.25086528,0.021030268,,-0.29936028,0,0,0.0383195,176.05786,47,1.8843497,16.713018,-0.22626947,-0.16160163,,14369.898520329845,25.906668,554.67957,1,0,46,1.1583489,17130.44102135021,9.573616,1789.3386,376,0,5473.130165753159,14.045035,389.68433,2,0,42,14.86024,,0.037448674,,,,-0.02589269,-0.055055644,0.06472204,0.107404545,
